gml_id,idurba,nom,etiquette,etiquetmin,siren_nom,siren,nat_jurid,siren_nom2,siren2,nat_jurid2,etat,etat_txt,anneeappro,datappro,datefin,proc_cours,etat_proc,typeproc,typeproc_t,typeproc_d,diag_d,padd_d,doo_d,arret_d,delibreg,delibreg_d,siteweb,siteweb2,dialogue_n,dialogue_t,sdci,nbre_com,pop,surf_km2,info_compl,modif_date,typedoc,padd,rapport,doo,urlrapport,urlpadd,urldoo,urlpe,metadata
scot_approuves.200044048_SCOT_20190626,200044048_SCOT_20190626,SCOT OSARTIS-MARQUION,OSARTIS MARQUION,Osartis Marquion,CC OSARTIS MARQUION,200044048,Communauté de communes,,,,3,Opposable,2019,26/06/2019,,,,,,,,,,26/09/2018,201900675,02/04/2019,http://www.cc-osartis.com/,,3,Artois - Artois Douaisis,,49,42317,332,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.255902934_SCOT_20191211,255902934_SCOT_20191211,SCOT DE FLANDRE ET LYS,FLANDRE ET LYS,Flandre et Lys,SM FLANDRE ET LYS,255902934,Syndicat mixte fermé,,,,3,Opposable,2019,11/12/2019,,,,,,,07/07/2015,05/07/2016,,17/10/2018,20182011,14/12/2018,https://www.aud-stomer.fr/fr_FR/ressources/scot-flandre-lys,,1,Littoral - Côte d'Opale,,58,144155,762,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200046639_SCOT_20151216,200046639_SCOT_20151216,SCOT DU VALENCIENNOIS,VALENCIENNOIS,Valenciennois,SYNDICAT INTERCOMMUNAL DES TRANSPORTS URBAINS DE LA REGION DE VALENCIENNES (SITURV),200046639,Syndicat mixte fermé,SYNDICAT INTERCOMMUNAL DE MOBILITE ET D'ORGANISATION URBAINE DU VALENCIENNOIS,200046639,Syndicat mixte fermé,3,Opposable,2015,16/12/2015,,,,5,Modification simplifiée,,,,,,,,https://www.nord.gouv.fr/Politiques-publiques/Amenagement-urbanisme-habitat-et-construction/Amenagement-urbanisme-et-planification/Les-schemas-de-coherence-territoriale-SCoT-du-Nord/SCoT-du-Valenciennois,https://www.agglo-porteduhainaut.fr/le-schema-de-coherence-territoriale-du-valenciennois-scot,4,Hainaut Cambrésis,,82,355591,636,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.240200493_SCOT_20170615,240200493_SCOT_20170615,SCOT DE LA CC DU VERMANDOIS,VERMANDOIS,Vermandois,COMMUNAUTE DE COMMUNES PAYS DU VERMANDOIS,240200493,Communauté de communes,,,,3,Opposable,2017,15/06/2017,,,,,,,,,,,,24/11/2016,https://www.cc-vermandois.com/Environnement-et-amenagement/Urbanisme/Schema-de-Coherence-Territoriale-SCOT,,8,Aisne Nord - Est Somme,,54,32107,451,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.240200519_SCOT_20141217,240200519_SCOT_20141217,SCOT DE LA CC D'OULCHY-LE-CHATEAU,OULCHY LE-CHATEAU,Oulchy Le-Château,COMMUNAUTE DE COMMUNES DU CANTON D'OULCHY-LE-CHATEAU,240200519,Communauté de communes,,,,3,Opposable,2014,17/12/2014,,,,,,,,,,17/03/2014,,20/06/2014,https://www.cc-oulchylechateau.fr/articles/scot,,7,Aisne Sud,,26,5839,232,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246200380_SCOT_20100625,246200380_SCOT_20100625,SCOT DE LA TERRE DES 2 CAPS,TERRE DES 2 CAPS,Terre des 2 Caps,COMMUNAUTE DE COMMUNES DE LA TERRE DES 2 CAPS,246200380,Communauté de communes,,,,3,Opposable,2010,25/06/2010,,,,,,,,,,08/07/2009,,,http://www.terredes2caps.fr/fr/vie_quotidienne/l_urbanisme/le_schema_de_coherence_territoriale,,1,Littoral - Côte d'Opale,,21,22425,184,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.255902314_SCOT_20170210,255902314_SCOT_20170210,SCOT DE LILLE METROPOLE,LILLE METROPOLE,Lille Métropole,SYNDICAT MIXTE DU SCOT DE LILLE METROPOLE,255902314,Syndicat mixte fermé,,,,3,Opposable,2017,10/02/2017,,,,,,,,,,26/02/2016,20160205,21/06/2016,http://www.scot-lille-metropole.org/spip.php?rubrique138,,2,Espace Métropolitain de Lille,,133,1275578,985,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.256203100_SCOT_20190626,256203100_SCOT_20190626,SCOT DE L'ARRAGEOIS,ARRAGEOIS,Arrageois,SCOT DE L'ARRAGEOIS,256203100,Syndicat mixte fermé,,,,3,Opposable,2019,26/06/2019,,,,,,,,,,,201900675,02/04/2019,https://www.scota.eu/le-scot-en-vigueur/,,3,Artois - Artois Douaisis,,206,172754,1290,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.256203761_SCOT_20190625,256203761_SCOT_20190625,SCOT DU PAYS DE ST-OMER,PAYS DE ST-OMER,Pays de St-Omer,SYNDICAT MIXTE LYS AUDOMAROIS,256203761,Syndicat mixte fermé,,,,3,Opposable,2019,25/06/2019,,,,,,,,28/06/2017,01/06/2018,13/09/2018,20182012,14/12/2018,https://www.aud-stomer.fr/fr_FR/ressources/scot-du-pays-de-saint-omer-2,http://www.smla.fr/le-smla/nos-competences/le-scot/,1,Littoral - Côte d'Opale,oui,89,132700,817,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000756_SCOT_20111129,246000756_SCOT_20111129,SCOT DU PAYS NOYONNAIS,PAYS NOYONNAIS,Pays Noyonnais,COMMUNAUTE DE COMMUNES PAYS NOYONNAIS,246000756,Communauté de communes,,,,3,Opposable,2011,29/11/2011,,,,,,,,,,30/11/2010,,,https://paysnoyonnais.com/-Le-Schema-de-Coherence-territoriale-.html,,6,Oise,,42,34122,268,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
