gml_id,idurba,nom,etiquette,etiquetmin,siren_nom,siren,nat_jurid,siren_nom2,siren2,nat_jurid2,etat,etat_txt,anneeappro,datappro,datefin,proc_cours,etat_proc,typeproc,typeproc_t,typeproc_d,diag_d,padd_d,doo_d,arret_d,delibreg,delibreg_d,siteweb,siteweb2,dialogue_n,dialogue_t,sdci,nbre_com,pop,surf_km2,info_compl,modif_date,typedoc,padd,rapport,doo,urlrapport,urlpadd,urldoo,urlpe,metadata
scot_en_cours.200067965_SCOT_00000000,200067965_SCOT_00000000,SCOT DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,Région de Compiègne et de la Basse Automne,CA AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,200067965,Communauté d'agglomération,,,,,,,,,SCoT en élaboration,Délibération d'élaboration du SCOT,1,Elaboration,15/11/2018,,,,,,,https://www.agglo-compiegne.fr/scot,,6,Oise,,22,84703,265,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200082063_SCOT_00000000,200082063_SCOT_00000000,SCOT DU GRAND AMIENOIS,GRAND AMIENOIS,Grand Amiénois,POLE METROPOLITAIN DU GRAND AMIENOIS,200082063,Pôle métropolitain,,,,,,,,,SCoT en révision,Délibération de révision du SCOT,2,Révision,19/12/2018,,,,,,,<![CDATA[http://www.aduga.org/index.php?lvl=cmspage&pageid=6&id_rubrique=112]]>,,9,Grand Amiénois - Grand Roye,oui,466,384315,3621,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200009918_SCOT_00000000,200009918_SCOT_00000000,SCOT BASSIN DU CREILLOIS ET VALLEES BRETHOISE,BASSIN CREILLOIS ET VALLEES BRETHOISE,Bassin Creillois et vallées Brethoises,SYNDICAT MIXTE DU BASSIN CREILLOIS ET DES VALLEES BRETHOISE,200009918,Syndicat mixte fermé,,,,,,,,,SCoT en révision,Diagnostic,2,Révision,04/07/2017,01/01/2020,,,,,,https://www.smbcvb.fr/,,6,Oise,,21,111208,132,,02/09/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.246000921_SCOT_00000000,246000921_SCOT_00000000,SCOT DU PAYS D'OISE ET D'HALATTE,PAYS D'OISE ET D'HALATTE,Pays d'Oise et d'Halatte,COMMUNAUTE DE COMMUNES DES PAYS OISE ET HALATTE,246000921,Communauté de communes,,,,,,,,,SCoT en révision,Projet d'Aménagement et de Développement Durable,2,Révision,24/04/2018,01/07/2019,01/12/2020,,,,,https://www.ccpoh.fr/amenager-le-territoire/planification/scot/revision-du-scot-en-cours,,6,Oise,,17,34798,140,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.256204082_SCOT_00000000,256204082_SCOT_00000000,SCOT LENS-LIEVIN-HENIN-CARVIN,LENS-LIEVIN-HENIN-CARVIN,Lens-Liévin-Hénin-Carvin,SYNDICAT MIXTE DE MISE EN OEUVRE DU SCOT,256204082,Syndicat mixte fermé,,,,,,,,,SCoT en révision,Diagnostic,2,Révision,10/04/2015,,,,,,,http://www.scot-llhc.fr/Revision,,3,Artois - Artois Douaisis,,50,371662,352,"Infos au 26/11/2020 : diag en cours, le PADD sera élaboré durant l'année 2021, le DOO sera élaboré durant l'année 2022, arrêt prévu en oct 2023",23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.255902330_SCOT_00000000,255902330_SCOT_00000000,SCOT DU CAMBRESIS,CAMBRESIS,Cambrésis,SYNDICAT MIXTE DU PAYS DU CAMBRESIS,255902330,Syndicat mixte fermé,,,,,,,,,SCoT en révision,Délibération de révision du SCOT,2,Révision,11/07/2018,,,,,,,http://www.paysducambresis.fr/le-pays-en-actions/urbanisme/schema-de-coherence-territoriale-scot/,,4,Hainaut Cambrésis,,116,165494,903,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200081255_SCOT_00000000,200081255_SCOT_00000000,SCOT DE L'OISE ET DU PLATEAU PICARD,OISE PLATEAU PICARD,Oise Plateau Picard,SYNDICAT MIXTE DE L'OISE PLATEAU PICARD,200081255,Syndicat mixte fermé,,,,,,,,,SCoT en élaboration,Délibération d'élaboration du SCOT,1,Elaboration,02/04/2019,,,,,,,https://www.oise.gouv.fr/Politiques-publiques/Amenagement-durable-du-territoire/La-connaissance-de-l-Oise/Porter-a-Connaissance/Donnees-locales/Schemas-de-Coherence-Territoriale-SCoT/SCoT-de-l-Oise-et-du-Plateau-Picard,,6,Oise,,104,52829,839,,02/09/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200048221_SCOT_00000000,200048221_SCOT_00000000,SCOT DU PAYS MARITIME ET RURAL DU MONTREUILLOIS,PAYS MARITIME ET RURAL DU MONTREUILLOIS,Pays maritime et rural du Montreuillois,SYNDICAT MIXTE DU SCHEMA DE COHERENCE TERRITORIALE DU PAYS MARITIME ET RURAL DU MONTREUILLOIS,200048221,Pôle d'équilibre territorial et rural (PETR),,,,,,,,,SCoT en révision,Délibération de révision du SCOT,2,Révision,06/01/2020,,,,,,,https://www.ca2bm.fr/urbanisme/le-scot-schema-de-coherence-territoriale,,5,Littoral Sud,oui,95,85105,826,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200093086_SCOT_00000000,200093086_SCOT_00000000,SCOT DU BEAUVAISIS - CLERMONTOIS,BEAUVAISIS - CLERMONTOIS,Beauvaisis - Clermontois,SYNDICAT MIXTE DU SCOT BEAUVAISIS - CLERMONTOIS,200093086,Syndicat mixte fermé,,,,,,,,,SCoT en pré-élaboration,SCoT en pré-élaboration (pas de délibération d'élaboration),,,,,,,,,,https://premium.courrier-picard.fr/id45951/article/2019-10-28/le-clermontois-sassocie-au-beauvaisis-pour-son-document-durbanisme,http://www.pays-clermontois.fr/medias/fichier-CCC-7809.pdf,6,Oise,,72,141776,699,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_en_cours.200039311_SCOT_00000000,200039311_SCOT_00000000,SCOT BAIE DE SOMME TROIS VALLEES,BAIE DE SOMME TROIS VALLEES,Baie de Somme trois vallées,SYNDICAT MIXTE BAIE DE SOMME 3 VALLEES,200039311,Syndicat mixte ouvert,,,,,,,,,SCoT en élaboration,Projet d'Aménagement et de Développement Durable,1,Elaboration,14/12/2015,,,,,,,https://www.baiedesomme3vallees.fr/accueil/scot/,,5,Littoral Sud,,139,108593,1371,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
